GSK,Date
35.69743347167969,2018-12-27
35.838348388671875,2018-12-28
35.894710540771484,2018-12-31
35.58470916748047,2019-01-02
35.53773880004883,2019-01-03
36.27986526489258,2019-01-04
36.45835494995117,2019-01-07
36.693206787109375,2019-01-08
36.824729919433594,2019-01-09
36.97502899169922,2019-01-10
36.99382019042969,2019-01-11
36.27047348022461,2019-01-14
36.683815002441406,2019-01-15
36.08259201049805,2019-01-16
36.6180534362793,2019-01-17
36.693206787109375,2019-01-18
36.60866165161133,2019-01-22
36.70260238647461,2019-01-23
36.04501724243164,2019-01-24
36.09198760986328,2019-01-25
36.11077880859375,2019-01-28
36.373809814453125,2019-01-29
36.364418029785156,2019-01-30
36.824729919433594,2019-01-31
36.824729919433594,2019-02-01
36.76836013793945,2019-02-04
37.059574127197266,2019-02-05
38.21504211425781,2019-02-06
38.11170959472656,2019-02-07
38.60020065307617,2019-02-08
37.79231262207031,2019-02-11
38.07413101196289,2019-02-12
37.923831939697266,2019-02-13
38.38414001464844,2019-02-14
38.741111755371094,2019-02-15
38.788082122802734,2019-02-19
38.85383987426758,2019-02-20
38.64131546020508,2019-02-21
38.650848388671875,2019-02-22
38.59366226196289,2019-02-25
38.60319137573242,2019-02-26
38.565059661865234,2019-02-27
38.469749450683594,2019-02-28
38.49834442138672,2019-03-01
38.39349365234375,2019-03-04
38.469749450683594,2019-03-05
38.30770492553711,2019-03-06
38.24098587036133,2019-03-07
38.24098587036133,2019-03-08
38.20286560058594,2019-03-11
38.17426681518555,2019-03-12
38.46021270751953,2019-03-13
38.536468505859375,2019-03-14
38.72710418701172,2019-03-15
38.59366226196289,2019-03-18
38.55553436279297,2019-03-19
38.8986701965332,2019-03-20
39.30853271484375,2019-03-21
39.31806182861328,2019-03-22
39.279937744140625,2019-03-25
39.651668548583984,2019-03-26
39.77558135986328,2019-03-27
39.909027099609375,2019-03-28
39.8327751159668,2019-03-29
39.851837158203125,2019-04-01
39.91856002807617,2019-04-02
39.804176330566406,2019-04-03
39.737457275390625,2019-04-04
39.651668548583984,2019-04-05
39.71839141845703,2019-04-08
39.54682540893555,2019-04-09
39.337127685546875,2019-04-10
39.0225830078125,2019-04-11
38.69850540161133,2019-04-12
38.86054229736328,2019-04-15
38.38396072387695,2019-04-16
38.1075439453125,2019-04-17
37.9836311340332,2019-04-18
37.821598052978516,2019-04-22
38.3363037109375,2019-04-23
38.05988693237305,2019-04-24
38.3363037109375,2019-04-25
38.50787353515625,2019-04-26
38.55553436279297,2019-04-29
39.20368576049805,2019-04-30
38.51740646362305,2019-05-01
38.565059661865234,2019-05-02
38.84147644042969,2019-05-03
38.63178253173828,2019-05-06
37.73581314086914,2019-05-07
37.878787994384766,2019-05-08
37.80253219604492,2019-05-09
37.678619384765625,2019-05-10
37.497520446777344,2019-05-13
37.37360763549805,2019-05-14
37.726280212402344,2019-05-15
37.951087951660156,2019-05-16
38.06684875488281,2019-05-17
37.99932098388672,2019-05-20
37.99932098388672,2019-05-21
38.78072738647461,2019-05-22
38.57814025878906,2019-05-23
38.76143264770508,2019-05-24
37.79673767089844,2019-05-28
37.507328033447266,2019-05-29
37.37227249145508,2019-05-30
37.27580261230469,2019-05-31
37.661678314208984,2019-06-03
37.51697540283203,2019-06-04
37.30473709106445,2019-06-05
37.603797912597656,2019-06-06
38.39484786987305,2019-06-07
38.703548431396484,2019-06-10
38.5106086730957,2019-06-11
38.877193450927734,2019-06-12
38.71319580078125,2019-06-13
38.703548431396484,2019-06-14
38.52025604248047,2019-06-17
38.80002212524414,2019-06-18
39.5524787902832,2019-06-19
38.98331069946289,2019-06-20
38.8482551574707,2019-06-21
39.156959533691406,2019-06-24
39.1955451965332,2019-06-25
38.71319580078125,2019-06-26
38.549198150634766,2019-06-27
38.60708236694336,2019-06-28
39.00260543823242,2019-07-01
39.47529983520508,2019-07-02
39.87083053588867,2019-07-03
39.407772064208984,2019-07-05
39.08943176269531,2019-07-08
39.311302185058594,2019-07-09
39.65859603881836,2019-07-10
39.48495101928711,2019-07-11
38.992958068847656,2019-07-12
39.45600891113281,2019-07-15
39.72612380981445,2019-07-16
39.68753433227539,2019-07-17
39.94800567626953,2019-07-18
