JNJ,Date
136.0017852783203,2019-05-24
134.25830078125,2019-05-28
128.63604736328125,2019-05-29
129.40005493164062,2019-05-30
128.45974731445312,2019-05-31
128.74378967285156,2019-06-03
130.98680114746094,2019-06-04
131.62347412109375,2019-06-05
133.87628173828125,2019-06-06
135.70794677734375,2019-06-07
136.16831970214844,2019-06-10
136.9127197265625,2019-06-11
138.7737274169922,2019-06-12
137.82363891601562,2019-06-13
137.2163543701172,2019-06-14
136.57969665527344,2019-06-17
137.35348510742188,2019-06-18
137.5689697265625,2019-06-19
139.29287719726562,2019-06-20
139.17530822753906,2019-06-21
140.12542724609375,2019-06-24
141.28121948242188,2019-06-25
138.94024658203125,2019-06-26
137.80404663085938,2019-06-27
136.4229736328125,2019-06-28
136.5013427734375,2019-07-01
137.15757751464844,2019-07-02
139.22430419921875,2019-07-03
137.68650817871094,2019-07-05
138.07830810546875,2019-07-08
138.50929260253906,2019-07-09
138.31338500976562,2019-07-10
137.23594665527344,2019-07-11
131.5451202392578,2019-07-12
131.94671630859375,2019-07-15
129.78204345703125,2019-07-16
129.15518188476562,2019-07-17
129.36087036132812,2019-07-18
127.63697052001953,2019-07-19
126.001220703125,2019-07-22
126.19711303710938,2019-07-23
127.11782836914062,2019-07-24
128.4303436279297,2019-07-25
128.04835510253906,2019-07-26
130.2913818359375,2019-07-29
129.3706512451172,2019-07-30
127.54882049560547,2019-07-31
127.61737823486328,2019-08-01
128.38137817382812,2019-08-02
127.49005126953125,2019-08-05
128.08753967285156,2019-08-06
127.53903198242188,2019-08-07
128.97885131835938,2019-08-08
129.33148193359375,2019-08-09
129.22372436523438,2019-08-12
130.68316650390625,2019-08-13
127.58797454833984,2019-08-14
127.86224365234375,2019-08-15
128.66542053222656,2019-08-16
129.53717041015625,2019-08-19
127.92102813720703,2019-08-20
128.83193969726562,2019-08-21
128.5772705078125,2019-08-22
125.10989379882812,2019-08-23
126.11646270751953,2019-08-26
127.93221282958984,2019-08-27
126.98485565185547,2019-08-28
126.55066680908203,2019-08-29
126.66908264160156,2019-08-30
127.04407501220703,2019-09-03
127.16249084472656,2019-09-04
